Subject,manipulation,Manipulation,Stimulation,Session,VisualF,Response,StartTime
S3,UR,Ignored Visual Field,Active,Pre,Left,0.8958333333333334,297.1342555749995
S3,UR,Attended Visual Field,Active,Pre,Right,0.7936507936507936,297.5388510111114
S4,UR,Ignored Visual Field,Active,Pre,Left,0.7321428571428571,266.57462618750077
S4,UR,Attended Visual Field,Active,Pre,Right,0.7586206896551724,325.49705139825977
S5,UR,Ignored Visual Field,Active,Pre,Left,0.6808510638297872,304.8501785850856
S5,UR,Attended Visual Field,Active,Pre,Right,0.4444444444444444,283.9984719851604
S6,UL,Ignored Visual Field,Active,Pre,Right,0.6666666666666666,297.3576008298326
S6,UL,Attended Visual Field,Active,Pre,Left,0.9183673469387755,294.68747429185004
S7,UL,Attended Visual Field,Active,Pre,Left,0.7843137254901961,283.32476177852254
S7,UL,Ignored Visual Field,Active,Pre,Right,0.8214285714285714,314.1071587447368
S8,UR,Attended Visual Field,Active,Pre,Right,0.7735849056603774,322.5315460132041
S8,UR,Ignored Visual Field,Active,Pre,Left,0.8363636363636363,261.6957715236317
S9,UR,Ignored Visual Field,Active,Pre,Left,0.4827586206896552,264.2130011275891
S9,UR,Attended Visual Field,Active,Pre,Right,0.6071428571428571,336.182525551788
S10,UL,Attended Visual Field,Active,Pre,Left,0.85,295.7552006233333
S10,UL,Ignored Visual Field,Active,Pre,Right,0.5471698113207547,306.268328926415
S11,UR,Attended Visual Field,Active,Pre,Right,0.6721311475409836,293.21686629016403
S11,UR,Ignored Visual Field,Active,Pre,Left,0.7924528301886793,301.9162773962265
S12,Bi,Control,Active,Pre,Right,0.782608695652174,294.48951346531976
S12,Bi,Control,Active,Pre,Left,0.90625,307.89324244541785
S13,UL,Attended Visual Field,Active,Pre,Left,0.851063829787234,325.18127034680856
S13,UL,Ignored Visual Field,Active,Pre,Right,0.66,298.792736846
S14,Bi,Control,Active,Pre,Right,0.75,275.75945852497375
S14,Bi,Control,Active,Pre,Left,0.5609756097560976,301.9051837511815
S15,UL,Attended Visual Field,Active,Pre,Left,0.7884615384615384,318.47282695191825
S15,UL,Ignored Visual Field,Active,Pre,Right,0.5901639344262295,284.3079037278636
S16,UL,Attended Visual Field,Active,Pre,Left,0.75,305.7325178807692
S16,UL,Ignored Visual Field,Active,Pre,Right,0.8333333333333334,294.75911723333337
S17,UR,Ignored Visual Field,Active,Pre,Left,0.8392857142857143,322.2726797089334
S17,UR,Attended Visual Field,Active,Pre,Right,0.5283018867924528,265.699706428307
S18,Bi,Control,Active,Pre,Right,0.6521739130434783,282.98033817166606
S18,Bi,Control,Active,Pre,Left,0.7068965517241379,310.5723070051152
S19,UL,Ignored Visual Field,Active,Pre,Right,0.5882352941176471,283.3586584705895
